translation_x	translation_y	translation_z	rotMatrix_11	rotMatrix_21	rotMatrix_31	rotMatrix_12	rotMatrix_22	rotMatrix_32	rotMatrix_13	rotMatrix_23	rotMatrix_33
-8.1271255086	-84.3695951028	616.3210553765	0.8537016337	-0.1909510772	-0.4844898243	-0.0649594617	0.8840345464	-0.4628854977	0.5166942588	0.426638952	0.7422975361
-6.6798788636	-84.3239493283	616.3991327764	0.8622080286	-0.1880429119	-0.4703572822	-0.0607133522	0.8834890187	-0.4645007683	0.5029015762	0.4290535462	0.7503345414
-5.2021671988	-84.7067897637	616.2693725222	0.8726295484	-0.1836116645	-0.452559338	-0.0575205270	0.8815500281	-0.4685735114	0.4849892659	0.4349217252	0.7587053946
-3.4361270549	-84.892031131	616.2248298144	0.882841759	-0.1801289591	-0.4337567065	-0.0532671694	0.8791727899	-0.4735165876	0.4666411243	0.4411447446	0.7665755848
-1.5949255218	-85.057047555	616.0604604777	0.8924724828	-0.1760090351	-0.415352580	-0.0498491640	0.8766233708	-0.4785883066	0.4483436347	0.4478310073	0.7735885497
-0.0308828259	-85.532324733	616.1975271137	0.9002119681	-0.1735980084	-0.3993510766	-0.0465189993	0.8735105166	-0.4845775476	0.4329590477	0.4547998379	0.7782690123
1.0347568744	-85.7567010346	616.4519432211	0.9061426848	-0.1728430972	-0.3860473498	-0.0420057913	0.8714117053	-0.4887506327	0.4208833639	0.4590938871	0.7823629916
2.1696977673	-86.1384035511	616.8065946651	0.9104373423	-0.1699002154	-0.3771367641	-0.0421171921	0.868935905	-0.4931290091	0.4114904048	0.4648481121	0.7839556844
2.6370186647	-85.9818602387	617.0106751984	0.9132760125	-0.1700517346	-0.3701521007	-0.03899939	0.8680173016	-0.4950000832	0.405474068	0.4665070908	0.7861075837
3.1169219693	-86.3470216406	617.3385615114	0.9157297228	-0.1696155131	-0.3642387417	-0.0378648010	0.8660641873	-0.4984968341	0.4000069257	0.4702801504	0.7866582720
3.7487116661	-86.3532834085	617.3885574492	0.9179726539	-0.1665092399	-0.3600056444	-0.0387394259	0.8656446132	-0.4991581857	0.3947513857	0.4721592038	0.7881878005
4.1379872333	-86.5164129276	617.5894885515	0.9196658917	-0.1657733024	-0.3559999172	-0.0379117772	0.8648208188	-0.5006474873	0.390870101	0.4739242086	0.7890616195
4.3770898352	-86.4658755188	617.6511426375	0.921006721	-0.1646830927	-0.3530293524	-0.0370316632	0.8651286101	-0.5001813658	0.3877871969	0.4737428181	0.7906909868
4.8234988854	-86.3915023208	617.7079877159	0.9225134669	-0.1636306012	-0.3495609413	-0.0361645514	0.8650534014	-0.5003745668	0.3842654673	0.4742441155	0.7921057422
5.1166615982	-86.3027417606	617.6347118459	0.9239802739	-0.1630124177	-0.345956945	-0.0349941126	0.8647754662	-0.5009378484	0.3808341704	0.4749634059	0.7933309305
5.562870799	-86.6479403245	617.7538494361	0.9253719929	-0.1620450737	-0.3426773444	-0.0349730854	0.8636651826	-0.5028512783	0.3774430473	0.477308781	0.7935443782
5.6948089217	-87.0069387834	617.8891711505	0.9266279989	-0.1612564812	-0.3396429274	-0.0350391327	0.8623843509	-0.505040157	0.3743437357	0.4798849347	0.7934592400
6.2037068566	-87.1468667909	617.871077683	0.9287381909	-0.1597067197	-0.3345727261	-0.0343005572	0.8615689241	-0.506480479	0.3691457944	0.4818637616	0.7946939343
7.078005318	-87.0341290327	617.7806210224	0.9318925683	-0.1565697297	-0.3272118465	-0.0331704031	0.8614902508	-0.5066898638	0.3612221049	0.4830331171	0.7976231835
7.9298259012	-87.2387697571	617.8292902224	0.9347764926	-0.1536096681	-0.3203093422	-0.0328566385	0.8604239892	-0.5085183926	0.3537152038	0.485875413	0.7992570341
8.3313511359	-87.6514739697	617.9487801568	0.9372788177	-0.1502246384	-0.3145555328	-0.0344414909	0.8580494795	-0.512411106	0.3468809832	0.4911049585	0.7990578769
9.5566001477	-87.9075559193	618.0127771453	0.941069590	-0.1450712719	-0.3055172875	-0.0354865573	0.8559942475	-0.5157658803	0.3363438547	0.4962136928	0.8004019842
10.2315755611	-88.3572782119	618.2339524338	0.9443645559	-0.1411878564	-0.2970573979	-0.0358668814	0.8535826196	-0.5197213576	0.3269413943	0.5014608655	0.8010292567
11.1741656839	-88.5835228842	618.4060976351	0.9481532563	-0.1355351757	-0.2874654235	-0.0366818965	0.8517918588	-0.5225945939	0.3156906597	0.5060444043	0.8026575781
11.9583653121	-88.9091234368	618.647611506	0.9520788535	-0.1309057511	-0.2764226201	-0.0357236056	0.8499962028	-0.525576080	0.3037591208	0.5102648536	0.8045869587
12.8687423644	-89.1465831889	618.8208018993	0.9557992089	-0.1251762595	-0.2660363907	-0.0357957006	0.8485677125	-0.5278743235	0.2918272149	0.5140654802	0.8065793831
13.7486052749	-89.1879083561	618.9161856704	0.9590555995	-0.1199720785	-0.2565552502	-0.0356133023	0.8475752198	-0.5294790098	0.280972577	0.5169363163	0.8085992429
14.5277187082	-89.3476070865	619.3677628197	0.9620328494	-0.1145072285	-0.247759732	-0.0360512061	0.8464780106	-0.5312020831	0.2705496308	0.5199647941	0.8102118023
15.5400974648	-89.3998082697	619.5241111072	0.9653532666	-0.1102320488	-0.2365153309	-0.0336131090	0.8463089975	-0.5316305374	0.2587677807	0.5211619324	0.8132817494
